Model,Organization,Country (of organization),Publication date,Year,Domain,Training compute (FLOP),log10_training_compute,Parameters,Training compute cost (2023 USD),Open model weights?,Open_Status,Model accessibility,Frontier model
LSTM+NeuralCache,"KU Leuven,ESAT - PSI,Apple","Belgium,Belgium,United States of America",2018-09-24,2018,Language,982800000000000.0,14.992465147808044,2100000.0,,No,Cerrado,Unreleased,
Multi-cell LSTM,University of Hyderabad,India,2018-11-15,2018,Language,2006640000000000.0,15.302469465144572,7200000.0,,No,Cerrado,Unreleased,
ELMo,"University of Washington,Allen Institute for AI","United States of America,United States of America",2018-02-01,2018,Language,3300100000000010.0,15.518527100117337,94000000.0,,,Sin dato,,
Fine-tuned-AWD-LSTM-DOC (fin),Samsung R&D Institute Russia,Russia,2018-11-12,2018,Language,5.188e+16,16.71499996741204,46000000.0,,No,Cerrado,Unreleased,
aLSTM(depth-2)+RecurrentPolicy (WT2),"University of Manchester,Alan Turing Institute","United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",2018-05-22,2018,Language,7.296e+16,16.86308482532036,32000000.0,,No,Cerrado,Unreleased,
Dropout-LSTM+Noise(Bernoulli) (WT2),"Columbia University,New York University (NYU),Princeton University","United States of America,United States of America,United States of America",2018-05-03,2018,Language,1.27e+17,17.103803720955955,51000000.0,,No,Cerrado,Unreleased,
4 layer QRNN (h=2500),Salesforce Research,United States of America,2018-03-22,2018,Language,5.9158815e+17,17.772019466134264,151000000.0,,No,Cerrado,Unreleased,
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),"NTT Communication Science Laboratories,Tohoku University","Japan,Japan",2018-08-30,2018,Language,6.66e+17,17.8234742291703,185000000.0,,Yes,Abierto,Open weights (unrestricted),
QRNN,Salesforce Research,United States of America,2018-02-01,2018,Language,6.8866472e+17,17.838007834834045,135000000.0,,No,Cerrado,Unreleased,
TrellisNet,"Carnegie Mellon University (CMU),Bosch Center for Artificial Intelligence,Intel Labs","United States of America,Germany,United States of America",2018-10-15,2018,Language,2.78e+18,18.444044795918078,180000000.0,,No,Cerrado,Unreleased,
Transformer + Simple Recurrent Unit,"ASAPP,Cornell University,Google,Princeton University","United States of America,United States of America,United States of America,United States of America",2018-09-17,2018,Language,1.1e+19,19.041392685158225,90000000.0,$45.37,No,Cerrado,Unreleased,
GPT-1,OpenAI,United States of America,2018-06-01,2018,Language,1.7578125e+19,19.244972548463494,117000000.0,,Yes,Abierto,Open weights (unrestricted),
Transformer (Adaptive Input Embeddings) WT103,Facebook AI Research,"United States of America,France",2018-09-28,2018,Language,4.47e+19,19.650307523131936,247000000.0,$2880.92,Yes,Abierto,Open weights (unrestricted),
