Country name,iso3,model_count,top_organizations,period,popup_info,method_note
Abyei,,0,Sin registros,2018-2025,Abyei<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Afghanistan,,0,Sin registros,2018-2025,Afghanistan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Aksai Chin,,0,Sin registros,2018-2025,Aksai Chin<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Albania,,0,Sin registros,2018-2025,Albania<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Algeria,,0,Sin registros,2018-2025,Algeria<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
American Samoa,,0,Sin registros,2018-2025,American Samoa<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Andorra,,0,Sin registros,2018-2025,Andorra<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Angola,,0,Sin registros,2018-2025,Angola<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Anguilla,,0,Sin registros,2018-2025,Anguilla<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Antigua and Barbuda,,0,Sin registros,2018-2025,Antigua and Barbuda<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Argentina,,0,Sin registros,2018-2025,Argentina<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Armenia,,0,Sin registros,2018-2025,Armenia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Aruba,,0,Sin registros,2018-2025,Aruba<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Arunachal Pradesh,,0,Sin registros,2018-2025,Arunachal Pradesh<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Australia,AUS,5,Monash University; CMU; Harrison.ai; Hugging Face; ServiceNow,2018-2025,"País: Australia
Modelos LLM notables: 5
Organizaciones principales: Monash University; CMU; Harrison.ai; Hugging Face; ServiceNow
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Austria,AUT,1,Johannes Kepler University Linz; Institute of Advanced Research in Artificial Intelligence; University of Oslo,2018-2025,"País: Austria
Modelos LLM notables: 1
Organizaciones principales: Johannes Kepler University Linz; Institute of Advanced Research in Artificial Intelligence; University of Oslo
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Azerbaijan,,0,Sin registros,2018-2025,Azerbaijan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Bahrain,,0,Sin registros,2018-2025,Bahrain<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Baker Island,,0,Sin registros,2018-2025,Baker Island<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Bangladesh,,0,Sin registros,2018-2025,Bangladesh<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Barbados,,0,Sin registros,2018-2025,Barbados<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Belarus,,0,Sin registros,2018-2025,Belarus<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Belgium,BEL,1,KU Leuven; ESAT - PSI; Apple,2018-2025,"País: Belgium
Modelos LLM notables: 1
Organizaciones principales: KU Leuven; ESAT - PSI; Apple
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Belize,,0,Sin registros,2018-2025,Belize<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Benin,,0,Sin registros,2018-2025,Benin<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Bermuda,,0,Sin registros,2018-2025,Bermuda<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Bhutan,,0,Sin registros,2018-2025,Bhutan<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Bolivia,,0,Sin registros,2018-2025,Bolivia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Bonaire,,0,Sin registros,2018-2025,Bonaire<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Bosnia and Herzegovina,,0,Sin registros,2018-2025,Bosnia and Herzegovina<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Botswana,,0,Sin registros,2018-2025,Botswana<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Brazil,,0,Sin registros,2018-2025,Brazil<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
British Indian Ocean Territory,,0,Sin registros,2018-2025,British Indian Ocean Territory<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
British Virgin Islands,,0,Sin registros,2018-2025,British Virgin Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Brunei,,0,Sin registros,2018-2025,Brunei<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Bulgaria,,0,Sin registros,2018-2025,Bulgaria<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Burkina Faso,,0,Sin registros,2018-2025,Burkina Faso<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Burundi,,0,Sin registros,2018-2025,Burundi<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Cambodia,,0,Sin registros,2018-2025,Cambodia<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Cameroon,,0,Sin registros,2018-2025,Cameroon<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Canada,CAN,9,Mila; McGill University; Cohere; CMU; MIT,2018-2025,"País: Canada
Modelos LLM notables: 9
Organizaciones principales: Mila; McGill University; Cohere; CMU; MIT
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
Cape Verde,,0,Sin registros,2018-2025,Cape Verde<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Cayman Islands,,0,Sin registros,2018-2025,Cayman Islands<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Central African Republic,,0,Sin registros,2018-2025,Central African Republic<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Chad,,0,Sin registros,2018-2025,Chad<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
Chile,,0,Sin registros,2018-2025,Chile<br>Modelos LLM notables: 0<br>Organizaciones principales: Sin registros,Counts one country participation per model; duplicated country participation is counted once per model.
China,CHN,109,Alibaba; Tsinghua University; Baidu; Z.ai / Zhipu AI; DeepSeek,2018-2025,"País: China
Modelos LLM notables: 109
Organizaciones principales: Alibaba; Tsinghua University; Baidu; Z.ai / Zhipu AI; DeepSeek
Periodo: 2018-2025",Counts one country participation per model; duplicated country names in a model were counted once.
